露營場名稱,縣市別,鄉/鎮/市/區,經度,緯度,地址,電話,手機,網站
稻庄休閒農場,宜蘭縣,三星鄉,121.6280508,24.66936092,宜蘭縣三星鄉福和路71巷16號,39892809,,https://www.facebook.com/daozhuangfarm/?locale=zh_TW
馬丁迷露,宜蘭縣,三星鄉,121.7286618,24.69431358,大洲路87巷36號,,921099666,
安農露營區,宜蘭縣,三星鄉,121.6474668,24.65544333,宜蘭市神農路1段130號,277565296,968488951,
Uwah露營區,宜蘭縣,大同鄉,121.685002,24.623456,華興巷42-18號,,953517925,
淺山休閒露營區,宜蘭縣,大同鄉,121.686915,24.60362664,宜蘭縣羅東鎮純精路2段248巷8號,,926635282,
武林秘密基地,宜蘭縣,大同鄉,121.685608,24.62145527,宜蘭縣五結鄉三吉二路80巷13弄16號,,983005759,
星亮點Kayu露營區,宜蘭縣,大同鄉,121.601031,24.678558,宜蘭縣大同鄉崙埤村泰雅路一段88巷99號,,925290965,
天際線茶園營地,宜蘭縣,大同鄉,121.601629,24.67665,泰雅路一段88巷88號,,932359832,
景好露營場,宜蘭縣,大同鄉,121.6126976,24.69179779,宜蘭縣宜蘭市泰山路112巷5弄25號,,916159727,
溪河木,宜蘭縣,大同鄉,121.57666,24.656605,宜蘭縣大同鄉松羅村松羅南巷115-7號,,910356735,
水之定莊園,宜蘭縣,大同鄉,121.610145,24.700327,宜蘭縣大同鄉中華村長嶺路187號,,952121777,
露山林套房露營區,宜蘭縣,大同鄉,121.686319,24.594803,宜蘭縣大同鄉寒溪村古魯巷1-8號,,910748875,
天梯露營區,宜蘭縣,大同鄉,121.603768,24.677041,泰雅路一段88巷66號,,921591070,
沐野露營區,宜蘭縣,大同鄉,121.569051,24.650488,宜蘭縣大同鄉泰雅路二段92巷99-1號,,922157971,
原最露營場,宜蘭縣,大同鄉,121.5771887,24.66395665,泰雅路2段46巷118-25號,,926261041,
瑪崙菓園親子露營區,宜蘭縣,大同鄉,121.543363,24.604367,樂水路20巷150-1號,,901228833,
太平山森活趣渡假農場,宜蘭縣,大同鄉,121.4474264,24.5227352,泰雅路六段2巷6-3號,,922497473,
牛鬥一角民宿野營渡假村,宜蘭縣,大同鄉,121.5690785,24.63590614,宜蘭縣三星鄉泰雅一路 525巷牛頭203號,,,
大同圓頂360露營區,宜蘭縣,大同鄉,121.595035,24.6802,267宜蘭縣大同鄉Unnamed Rd,,933772874,
五葉松林休閒露營區,宜蘭縣,大同鄉,121.5923908,24.66435533,宜蘭縣大同鄉松羅村泰雅路二段33巷31-1號,,927806958,
幸福城景觀露營區,宜蘭縣,大同鄉,121.584639,24.666572,大同鄉泰雅路二段29巷58-6號,,935668316,
雲端紅土咖啡露營區,宜蘭縣,大同鄉,121.6064993,24.69228006,宜蘭縣大同鄉崙埤村5鄰朝陽3-1號,,911835587,
山谷星空,宜蘭縣,大同鄉,121.5837013,24.635325,宜蘭縣三星鄉泰雅一路301巷71號,,932164669,
一山半水露營區,宜蘭縣,大同鄉,121.703894,24.62174162,宜蘭縣大同鄉寒溪巷68之9號,,916937663,
亞爸的山,宜蘭縣,大同鄉,121.3672426,24.41681178,泰雅路七段363之1號,,976385026,
宇世格爵露營區,宜蘭縣,大同鄉,121.5361266,24.59361296,宜蘭縣大同鄉樂水村碼崙路90巷16號,,,
櫻花溫泉休閒農場,宜蘭縣,大同鄉,121.605189,24.633665,宜蘭縣大同鄉復興村泰雅一路73號,,,
夏諾營,宜蘭縣,大同鄉,121.5887417,24.66304711,宜蘭縣大同鄉泰雅路二段33巷31號之7,,939124993,
哇吉散露營區,宜蘭縣,大同鄉,121.560853,24.62715,泰雅一路牛鬥81之1號,,912094473,
飛亞蘭露營區,宜蘭縣,大同鄉,121.455694,24.538569,泰雅路五段46號,,988066912,
見望村親子休閒農場,宜蘭縣,大同鄉,121.675201,24.635522,宜蘭縣大同鄉寒溪村華興巷48-1號,,,
斯揚莫那休閒露營區,宜蘭縣,大同鄉,121.4385216,24.51306149,宜蘭縣礁溪鄉漳福路192之10號,,910549801,
三富休閒農場,宜蘭縣,冬山鄉,121.754694,24.617374,宜蘭縣冬山鄉新寮二路161巷88號,,,
舊寮之心,宜蘭縣,冬山鄉,121.74247,24.627531,宜蘭縣冬山鄉舊寮路131巷37號,,937161773,
天ㄟ藝文露營區,宜蘭縣,冬山鄉,121.7325582,24.64583936,,,,
梅花湖休閒農場 ,宜蘭縣,冬山鄉,121.734427,24.64845,宜蘭縣冬山鄉得安村環湖路66號,,,
仁山逸境露營場,宜蘭縣,冬山鄉,121.7519292,24.6302069,宜蘭縣冬山鄉中山村新寮路225號,,963077420,
峇里島漫活民宿,宜蘭縣,冬山鄉,121.7799427,24.64111335,宜蘭縣冬山鄉永和路160號,,972720508,
田野森農場Morilife,宜蘭縣,冬山鄉,121.7206899,24.63403718,大進二路246號,,,
香格里拉休閒農場,宜蘭縣,冬山鄉,121.729249,24.631996,宜蘭縣冬山鄉大進村梅山路168號,,,
希望之丘露營區,宜蘭縣,冬山鄉,121.72454,24.633714,宜蘭縣冬山鄉大進村小埤五路331號,,,
樂山環茶,宜蘭縣,冬山鄉,121.7666362,24.62291307,宜蘭縣冬山鄉太和路615號,,912432667,
LoopLand 露營度假村,宜蘭縣,冬山鄉,121.7664169,24.6344434,宜蘭縣冬山鄉寶修路86號,39901133,,https://loopland.com.tw/
梅山久久露營場,宜蘭縣,冬山鄉,121.72447,24.62612071,武罕一路57號,,,
又想露營趣,宜蘭縣,冬山鄉,121.794337,24.614275,269宜蘭縣冬山鄉照安一路360之1號,,911963012,
東風有機休閒農場,宜蘭縣,冬山鄉,121.7303618,24.61850485,冬山鄉中山村中山路768巷11號,,,
同樂休閒綠園道,宜蘭縣,宜蘭市,121.737832,24.780464,宜蘭縣宜蘭市梅洲二路60號,39330000,,
麗野莊園休閒農場,宜蘭縣,宜蘭市,121.780171,24.741841,宜蘭縣宜蘭市黎明一路88號,,,
露境東岳,宜蘭縣,南澳鄉,121.834061,24.525425,宜蘭縣南澳鄉蘇花路5段1巷5之1號,39616866,918008877,https://www.camping085.com/
依山傍水露營場,宜蘭縣,南澳鄉,121.7698373,24.32962677,新北市板橋區漢生東路193巷42號,,903071039,
陳宥儒(那山那谷),宜蘭縣,南澳鄉,121.7488868,24.4381906,,,978088555,
BULABULA.KC布拉布拉露營區(原八福原地),宜蘭縣,南澳鄉,121.832341,24.526896,宜蘭縣南澳鄉81巷,,919182697,
金洋山豬露營區,宜蘭縣,南澳鄉,121.7484964,24.42851901,宜蘭縣南澳鄉博愛路14之1號,,988088203,
金岳秘境露營區,宜蘭縣,南澳鄉,121.765132,24.46939277,宜蘭縣南澳鄉金岳村鹿皮路5-3號,,,
Myasa 迷雅薩農場,宜蘭縣,南澳鄉,121.7866997,24.46387595,宜蘭縣南澳鄉中正路9號,,,
友露溪谷露營區,宜蘭縣,南澳鄉,121.7770993,24.46552743,宜蘭縣南澳鄉金岳村6鄰鹿皮路6之2號,,970161388,
摩諾營地,宜蘭縣,南澳鄉,121.749566,24.4377,宜蘭縣南澳鄉金洋村金洋路2之2號,,934282298,
鹿皮山水露營區,宜蘭縣,南澳鄉,121.7613752,24.46582355,金岳村鹿皮路3號,,932070136,
老柯農莊,宜蘭縣,南澳鄉,121.7453136,24.42529781,宜蘭縣南澳鄉金洋村博愛路18-1號,,919283363,
碧候溫泉園區露營場,宜蘭縣,南澳鄉,121.76237,24.504625,金岳路200號,,,
雙連埤露營區,宜蘭縣,員山鄉,121.6383692,24.75466152,宜蘭縣員山鄉雙埤路19-5號,,953028886,
鄉野沐田休閒農場,宜蘭縣,員山鄉,121.42184,24.43437,八甲路15-16號,,928219582,
鳳梨屋休閒農場,宜蘭縣,員山鄉,121.6181321,24.69598299,宜蘭縣員山嫏中華村長嶺路195號,,,
花間露休閒露營區,宜蘭縣,員山鄉,121.6179393,24.69622989,長嶺路131號,,922118665,
庄腳所在休閒農場,宜蘭縣,員山鄉,121.694958,24.780722,宜蘭縣員山鄉坡城路69-9號,39222000,952070990,https://www.huago.tw/archives/listings/%E5%BA%84%E8%85%B3%E6%89%80%E5%9C%A8%E4%BC%91%E9%96%92%E8%BE%B2%E5%A0%B4
鳳梨屋水上莊園,宜蘭縣,員山鄉,,,宜蘭縣員山鄉長嶺路181號,,,
呼啦莊園私人房車營地,宜蘭縣,頭城鎮,121.8010283,24.87168324,宜蘭縣頭城鎮福德路6-36號,,910879250,
微笑灣休閒農場,宜蘭縣,頭城鎮,121.824989,24.863045,宜蘭縣頭城鎮仙公路180巷50號,,,
頭城濱海森林公園露營場,宜蘭縣,頭城鎮,121.8291923,24.85056181,協天路400號,,,
鵲子山露營地,宜蘭縣,頭城鎮,121.773996,24.856751,宜蘭縣頭城鎮北宜路二段71巷60號,,919900262,
水旅居露營,宜蘭縣,頭城鎮,121.828713,24.8612361,宜蘭縣頭城鎮文化路205巷38-1號,,912581913,
山海匯靜思露營區,宜蘭縣,頭城鎮,121.804526,24.868124,宜蘭縣頭城鎮福德坑路5-1號,,925590329,
清林園林休閒農場,宜蘭縣,礁溪鄉,121.786303,24.809145,宜蘭縣礁溪鄉二龍村淇武蘭路111之8號,,,
杉林奇蹟,宜蘭縣,礁溪鄉,121.696394,24.815089,262宜蘭縣礁溪鄉二結路94號,,958636633,
跑馬古道露營區,宜蘭縣,礁溪鄉,121.7768363,24.84369768,宜蘭縣礁溪鄉白石腳路61號,39886232,,
926露營基地,宜蘭縣,礁溪鄉,121.697139,24.817127,宜蘭縣礁溪鄉匏崙村匏杓崙路150之50號,,937162068,
得天露營車,宜蘭縣,礁溪鄉,121.7568719,24.82647306,五峰路69號,,,
橘子園露營區,宜蘭縣,礁溪鄉,121.7815742,24.84035646,宜蘭縣礁溪鄉白石腳路55號,,919934039,
無憂花露營區,宜蘭縣,礁溪鄉,121.7751629,24.8431368,宜蘭縣礁溪鄉白石腳路157巷88號,,,
充電莊,宜蘭縣,礁溪鄉,121.696143,24.808826,宜蘭縣礁溪鄉匏崙村匏杓崙路150-8號,,919347289,
夢土上休閒農場 (那一村豪華露營),宜蘭縣,礁溪鄉,121.6818911,24.78500373,宜蘭縣礁溪鄉二結村（路）8-2號,,,
礁溪休閒農業有限公司休閒農場,宜蘭縣,礁溪鄉,121.753845,24.835621,宜蘭縣礁溪鄉五峰路70巷50號,,,
露樹露營區(原白石腳露營區),宜蘭縣,礁溪鄉,121.780796,24.838186,宜蘭縣羅東鎮河濱路30巷13號,,,
